Fp1,Fp2,C3,C4,Delta,Theta,Alpha,Beta,Gamma
22.483570765056164,19.881201589886484,15.286021078051114,18.426307134164283,20.20590995968188,18.90301590897235,17.038703174229102,18.78099574936381,18.834550355052254
19.308678494144075,19.73292945808073,16.77800214778539,18.86937638503876,19.16921189567847,18.601145888227947,17.61726097432537,19.873954702591263,19.768305255943673
23.23844269050346,13.021784136849925,15.61047575581943,19.257179514350327,17.31320557404979,16.6576473423542,17.1949421180882,17.295062524336064,18.27695179268769
27.61514928204013,20.349549041492814,18.441672187784476,22.78744584658472,23.697587669243003,21.71535873366037,22.448123000400226,20.789206405581865,22.969592049160553
18.829233126383322,25.664145409108727,22.78871412584765,16.011130766053025,19.899710099484157,21.99477226446713,21.84746818345506,19.867852456941627,20.860071681359898
18.8293152152541,15.628839404616024,14.915831371435182,15.61461203394936,16.11082105940809,15.926024553677214,16.94128544968543,15.546900405194203,16.38314892312234
27.896064077536955,27.242413255252963,22.003281991073656,23.946478968571903,24.127366089764784,25.561984813350033,24.092734774661384,24.426471873455874,23.58405410476812
23.837173645764544,24.43887410542169,14.87331171061245,17.149421032474805,23.114762652265107,19.154305902035066,19.70298286140272,16.902571106875023,21.19900307123218
17.65262807032524,18.328833390144812,14.609491150012463,13.947858585691735,16.64483583979991,15.597701042104871,16.21107838774613,16.380656449280778,17.3227397347516
22.712800217929825,21.292351813310763,21.274378473372852,17.05948023160052,23.600533383816092,19.990154672637182,20.322545559606986,19.733431846975773,18.613914100595384
17.682911535937688,29.991609038205166,21.687745512030467,17.679789059023996,22.979125260664613,22.01121511227062,21.491218560431033,22.60706372485539,19.901389882874092
17.671351232148716,25.66773906752933,21.405639747050618,25.21985091090306,22.02007346696974,23.98743511969043,20.76840191475366,23.01797414676092,24.30591602331703
21.20981135783017,22.04391827449074,12.736810367127436,22.699304849506948,19.32816488957447,19.942080627063234,18.519727061099182,18.73149708527153,20.36091526902868
10.43359877671101,20.811583415195077,16.136196087711795,23.59008246652897,14.956811963750765,16.812146980835713,17.33992533739744,18.03523052567222,17.600211546823733
11.375410837434837,22.383045352258296,21.291954368013286,22.279894569387146,18.27442984508974,20.27105929385433,16.23935060682823,20.47028498640115,18.40520815905134
17.188562353795135,19.44118221028848,18.166167362255578,22.784974686461258,18.54799653642886,18.886329967165928,20.03586597320997,20.351094151639778,18.482828375729092
14.93584439832788,11.476252471404926,13.705228615210142,16.247671493678727,12.44375605767723,13.108762918914278,12.71857014494435,14.013729593563077,14.196933342618614
21.571236662976368,32.210889552673656,19.833271756501766,18.205591378586064,22.562116603643283,22.082874535342608,23.6420854709496,20.889313677311723,23.316303413469527
